Alcala,Andalucia,Ansermanuevo,Argelia,Bolivar,Buenaventura,Bugalagrande,Caicedonia,	Cali,Calima - El Darien,Candelaria,Cartago,Dagua,El Aguila,El Cairo,El Cerrito,El Dovio,Florida,Ginebra,Guacari,Guadalajara de Buga,Jamundi,La Cumbre,La Union,La Victoria,Obando,Palmira,Pradera,Restrepo,Rio Frio,Roldanillo,San Pedro,Sevilla,Toro,Trujillo,Tulua,Ulloa,Versalles,Vijes,Yotoco,Yumbo,Zarzal
1,97,36,60,202,247,92,63,203,171,193,22,202,65,75,158,99,211,157,150,133,219,200,61,223,177,179,197,168,116,78,61,73,57,126,110,8,113,168,145,182,68
97,1,92,116,25,148,7,62,105,90,97,77,106,116,143,63,61,115,66,54,37,124,108,55,48,54,83,101,78,26,38,23,43,62,36,11,105,75,71,49,94,29
36,92,1,26,63,231,83,107,194,179,186,12,195,28,55,151,60,204,155,143,127,212,196,38,43,35,171,190,167,92,52,112,108,28,102,99,44,57,160,137,183,61
60,116,26,1,89,257,110,133,220,199,212,38,215,54,34,178,86,230,181,169,153,239,222,64,69,61,197,216,186,118,78,138,134,54,128,125,70,84,180,157,209,87
202,25,63,89,1,169,21,66,135,111,129,70,126,90,118,94,35,147,98,86,70,155,124,29,33,48,114,133,98,29,12,136,68,37,40,42,99,122,92,69,112,19
247,148,231,257,169,1,153,209,117,95,152,224,68,257,285,134,201,156,138,126,110,139,103,196,196,202,144,163,70,140,178,125,190,204,150,137,253,223,129,106,129,177
92,7,83,110,21,153,1,56,109,96,102,72,111,111,139,68,57,121,71,60,44,129,113,50,44,49,88,107,83,31,33,29,38,58,41,16,101,108,77,54,99,25
63,62,107,133,66,209,56,1,166,152,158,93,167,133,160,124,78,177,128,116,99,185,169,71,65,71,144,163,139,87,55,85,20,79,97,72,69,92,133,110,193,46
203,105,194,220,135,117,109,166,1,106,28,180,51,224,244,43,166,40,53,51,70,20,36,159,151,157,30,21,87,109,143,82,147,167,119,93,211,177,35,54,15,134
171,90,179,199,111,95,96,152,106,1,111,166,52,102,227,77,144,129,80,68,53,137,53,138,138,144,96,115,24,82,120,103,133,146,92,80,195,102,71,49,92,120
193,97,186,212,129,152,102,158,28,111,1,174,85,213,241,35,158,20,41,44,60,52,59,152,145,151,18,14,100,102,135,75,140,160,112,87,203,172,51,70,37,127
22,77,12,38,70,224,72,93,180,166,174,1,183,40,67,139,64,192,143,131,115,200,184,42,33,24,159,178,155,99,59,100,96,36,104,87,31,62,148,125,171,47
202,106,195,215,126,68,111,167,51,52,85,183,1,215,242,92,159,88,95,84,69,70,35,153,153,159,76,95,28,98,136,83,148,161,108,95,211,181,87,64,61,135
65,116,28,54,90,257,111,133,224,102,213,40,215,1,83,179,87,231,182,170,154,240,214,65,70,63,199,217,188,119,79,139,135,55,129,127,71,219,181,158,210,88
75,143,55,34,118,285,139,160,244,227,241,67,242,83,1,206,115,259,210,198,182,267,242,93,98,90,226,245,215,147,107,167,163,83,157,154,98,112,209,186,238,116
158,63,151,178,94,134,68,124,43,77,35,139,92,179,206,1,126,53,8,11,26,67,51,120,113,24,20,39,67,70,103,42,108,127,80,54,170,45,36,38,37,94
99,61,60,86,35,201,57,78,166,144,158,64,159,87,115,126,1,177,128,116,100,185,158,24,32,43,144,163,132,63,22,85,80,34,74,72,94,11,126,103,155,32
211,115,204,230,147,156,121,177,40,129,20,192,88,231,259,53,177,1,59,62,78,51,77,170,164,169,32,14,118,120,154,93,158,178,130,105,221,41,69,89,55,145
157,66,155,181,98,138,71,128,53,80,41,143,95,182,210,8,128,59,1,11,29,72,56,19,113,119,27,46,67,70,103,42,108,127,80,54,170,51,42,38,43,94
150,54,143,169,86,126,60,116,51,68,44,131,84,170,198,11,116,62,11,1,18,70,54,111,105,110,29,48,59,61,95,34,99,119,71,46,162,49,40,30,40,86
133,37,127,153,70,110,44,99,70,53,60,115,69,154,182,26,100,78,29,18,1,87,71,93,87,92,52,64,41,43,76,16,81,101,53,28,144,66,34,11,57,68
219,124,212,239,155,139,129,185,20,137,52,200,70,240,267,67,185,51,72,70,87,1,57,179,173,179,51,62,113,129,163,24,168,187,139,114,230,25,55,76,35,154
200,108,196,222,124,103,113,169,36,53,59,184,35,214,242,51,158,77,56,54,71,57,1,153,157,162,51,70,43,97,135,86,151,160,107,98,214,34,35,56,24,138
61,55,38,64,29,196,50,71,159,138,152,42,153,65,93,120,24,170,19,111,93,179,153,1,9,19,137,156,126,58,18,78,74,13,68,65,71,157,120,97,149,27
223,48,43,69,33,196,44,65,151,138,145,33,153,70,98,113,32,164,113,105,87,173,157,9,1,10,129,148,125,61,21,70,66,17,71,57,62,29,118,95,141,17
177,54,35,61,48,202,49,71,157,144,151,24,159,63,90,24,43,169,119,110,92,179,162,19,10,1,139,158,134,79,34,80,76,29,89,67,51,159,128,105,151,27
179,83,171,197,114,144,88,144,30,96,18,159,76,199,226,20,144,32,27,29,52,51,51,137,129,139,1,18,85,87,120,60,125,145,97,72,188,29,42,56,28,112
197,101,190,216,133,163,107,163,21,115,14,178,95,217,245,39,163,14,46,48,64,62,70,156,148,158,18,1,103,105,139,78,143,163,115,90,206,18,59,74,45,130
168,78,167,186,98,70,83,139,87,24,100,155,28,188,215,67,132,118,67,59,41,113,43,126,125,134,85,103,1,70,108,55,120,133,80,67,183,76,59,36,79,107
116,26,92,118,29,140,31,87,109,82,102,99,98,119,147,70,63,120,70,61,43,129,97,58,61,79,87,105,70,1,40,25,68,66,10,15,128,75,64,42,85,48
78,38,52,78,12,178,33,55,143,120,135,59,136,79,107,103,22,154,103,95,76,163,135,18,21,34,120,139,108,40,1,62,57,27,50,49,89,39,102,80,132,9
61,23,112,138,136,125,29,85,82,103,75,100,83,139,167,42,85,93,42,34,16,24,86,78,70,80,60,78,55,25,62,1,66,86,36,13,129,80,49,26,71,53
73,43,108,134,68,190,38,20,147,133,140,96,148,135,163,108,80,158,108,99,81,168,151,74,66,76,125,143,120,68,57,66,1,81,79,54,80,94,114,92,137,48
57,62,28,54,37,204,58,79,167,146,160,36,161,55,83,127,34,178,127,119,101,187,160,13,17,29,145,163,133,66,27,86,81,1,76,73,67,31,128,105,156,34
126,36,102,128,40,150,41,97,119,92,112,104,108,129,157,80,74,130,80,71,53,139,107,68,71,89,97,115,80,10,50,36,79,76,1,24,138,85,74,51,95,58
110,11,99,125,42,137,16,72,93,80,87,87,95,127,154,54,72,105,54,46,28,114,98,65,57,67,72,90,67,15,49,13,54,73,24,1,117,87,61,38,83,41
8,105,44,70,99,253,101,69,211,195,203,31,211,71,98,170,94,221,170,162,144,230,214,71,62,51,188,206,183,128,89,129,80,67,138,117,1,93,179,156,201,78
113,75,57,84,122,223,108,92,177,102,172,62,181,219,112,45,11,41,51,49,66,25,34,157,29,159,29,18,76,75,39,80,94,31,85,87,93,1,32,114,170,44
168,71,160,180,92,129,77,133,35,71,51,148,87,181,209,36,126,69,42,40,34,55,35,120,118,128,42,59,59,64,102,49,114,128,74,61,179,32,1,23,22,101
145,49,137,157,69,106,54,110,54,49,70,125,64,158,186,38,103,89,38,30,11,76,56,97,95,105,56,74,36,42,80,26,92,105,51,38,156,114,23,1,43,79
182,94,183,209,112,129,99,193,15,92,37,171,61,210,238,37,155,55,43,40,57,35,24,149,141,151,28,45,79,85,132,71,137,156,95,83,201,170,22,43,1,125
68,29,61,87,19,177,25,46,134,120,127,47,135,88,116,94,32,145,94,86,68,154,138,27,17,27,112,130,107,48,9,53,48,34,58,41,78,44,101,79,125,1
