A,B,R,Prob Hospital,Prob Piso,Prob UCI
11,1090136561475920,0,0,0,0
46,7189,0,0,0,0
11,886892,0,0,0,0
208,4,0,0,0,0
0,0,0,0,0,0
18922,4,0,0,0,0
34,1381862,0,0,0,0
11,4882867196,0,0,0,0
105928,10,0,0,0,0
11,35466016080307400,0,0,0,0
1773,12,0,0,0,0
347,4867604,0,0,0,0
486,8,0,0,0,0
46,6,0,0,0,0
46,4,0,0,0,0
568,62,0,0,0,0
46,4,0,0,0,0
1182,9,0,0,0,0
81,2034,0,0,0,0
139,882,0,0,0,0
1171,320,0,0,0,0
1959,57,0,0,0,0
69,66,0,0,0,0
220,6,0,0,0,0
0,0,0,0,0,0
34,6269,0,0,0,0
2481,224,0,0,0,0
1055,7,0,0,0,0
81,6,0,0,0,0
0,0,0,0,0,0
46,955821,0,0,0,0
81,13,0,0,0,0
115,20,0,0,0,0
0,0,0,0,0,0
46,14,0,0,0,0
2585,15,0,0,0,0
11,1817447,0,0,0,0
0,0,0,0,0,0
127,16,0,0,0,0
127,25,0,0,0,0
1878,23,0,0,0,0
0,0,0,0,0,0
